Job Title,Company Name,Location,Job Type,Experience Level,Posting Date,Requirements,Link
Structural Engineer,Entry Level,"Maadi, Cairo, Egypt",Full Time,Not specified,1 hour ago,"['Bachelor or Master degree in computer science or equivalent.', '3 to 5 years’ experience.', 'You are motivated, detail-oriented and responsible.', 'You are organized, autonomous, you know how to work under limited supervision and in a fast-paced team/environment.', 'You communicate proactively and are comfortable with both oral and written communication, online and offline.', 'You write quality code while respecting the functional requirements as well as the budget and deadlines.']",https://wuzzuf.net/jobs/p/7zvkvuzh1pus-structural-engineer-falak-design-studio-cairo-egypt
Architect Site Engineer,· Engineering - Construction/Civil/Architecture,"6th of October, Giza, Egypt",Full Time,Not specified,1 hour ago,"[""Bachelor's degree in Computer Science, Telecommunications, or a related field."", 'Minimum 5 years of experience in manual testing within the telecom industry.', 'Strong understanding of telecom Systems ( BSS/OSS) and working experience in CRM, Billing, Order Management, Provisioning, Inventory and other related systems', 'Proficiency in SQL & basic UNIX \xa0commands', 'Systems – SingleView, MapleWave, Siebel CRM, BRM, Ericsson Order Management, ServiceNow, NokiaFlowone or similar systems covering same functionalities.', 'Proficient in creating and executing test cases, test plans, and test scripts.', 'Experience with defect tracking tools and test management tools ( JIRA)', 'Knowledge of telecom testing methodologies and best practices.', 'Excellent analytical and problem-solving skills.', 'Strong communication and collaboration skills to work effectively in a team environment.', 'Self-motivated with the ability to prioritize and manage multiple tasks and deadlines.', 'Experience with test automation tools and frameworks (Selenieum/LeapWork)', 'Familiarity with agile software development methodologies', 'Certifications (optional but preferred):ISTQB Certified Tester (Foundation or Advanced Level).', 'ISTQB Certified Tester (Foundation or Advanced Level).']",https://wuzzuf.net/jobs/p/jouymmubykch-architect-site-engineer-dyar-for-construction-contractors-giza-egypt
Architect Technical Office Engineer,· Operations/Management,"6th of October, Giza, Egypt",Full Time,Not specified,1 hour ago,"['Plan, prepare, and deliver effective ICT lessons following the American curriculum.', 'Teach a range of topics including digital literacy, computer applications, coding, and online safety.', 'Integrate technology effectively across subject areas to enhance learning.', 'Assess, record, and report students’ progress in accordance with school policies.', 'Encourage creativity, problem-solving, and responsible digital citizenship.', 'Collaborate with colleagues to develop and enrich the school’s ICT programs.', 'Participate in school events, meetings, and professional development activities.']",https://wuzzuf.net/jobs/p/bwprrptoncvj-architect-technical-office-engineer-dyar-for-construction-contractors-giza-egypt
Mechanical Bim Coordinator (Consultancy Office),· Project/Program Management,"Heliopolis, Cairo, Egypt",Full Time,Not specified,1 hour ago,"['Minimum of 7 years and up to 9 years of professional experience in interior architecture or a related field.', 'Proven track record of managing and delivering complex interior projects within budget and schedule constraints.', 'Strong proficiency in AutoCAD, Revit, SketchUp,3dmax, lumion, and other relevant design and visualization tools.', 'Excellent communication and interpersonal skills for effective client and team collaboration.', 'Demonstrated ability to lead multidisciplinary teams and coordinate with external stakeholders.', 'Comprehensive understanding of building codes, regulations, and sustainable design principles.', 'Exceptional attention to detail and a keen eye for aesthetics and functionality.', 'Ability to manage multiple projects simultaneously in a fast-paced environment.', 'Experience working in an office-based setting with flexibility for on-site supervision as required.', 'Commitment to maintaining high standards of quality, safety, and client satisfaction.']",https://wuzzuf.net/jobs/p/fm0hbuocffjc-mechanical-bim-coordinator-consultancy-office-architecture-planning-international-api-cairo-egypt
Senior BIM Architect,Lead Software Engineer (Manufacturing Systems),"Heliopolis, Cairo, Egypt",Full Time,Not specified,1 hour ago,"['BSc/BA in IT, Computer Science, or relevant field', '2 to 3 of work experience as a System Admin', 'Excellent communication skills']",https://wuzzuf.net/jobs/p/guhvynpzchlv-senior-bim-architect-architecture-planning-international-api-cairo-egypt
Planning Engineer,Manager,"Badr City, Cairo, Egypt",Full Time,Not specified,54 minutes ago,[],https://wuzzuf.net/jobs/p/ksruyhl21wnn-planning-engineer-unistar-cairo-egypt
Manufacturing Director,· IT/Software Development,"Cairo, Egypt",Full Time,Not specified,53 minutes ago,"['Bachelors Degree in Architecture or relevant discipline.', 'Minimum 5 to 7 years of experience in a similar role.', 'Previous experience in luxurious / high quality finishing.', 'Previous experience dealing with clients directly', 'Good knowledge of quantity survey', 'Good knowledge of computer knowledge( Microsoft office – auto cad)']",https://wuzzuf.net/jobs/p/jw0fgppdm2bd-manufacturing-director-cairo-egypt
Electrical Engineer,Senior Sales Specialist - Fluent in English,"Maadi, Cairo, Egypt",Full Time,Not specified,53 minutes ago,"['Bachelors degree in Architecture or relevant disciplines', 'Minimum 4-6 years experience in architecture design and technical office', 'Excellent knowledge of quantity survey', 'Previous experience dealing with clients directly', 'Good knowledge of computer knowledge( Microsoft office – auto cad)']",https://wuzzuf.net/jobs/p/ybazaqykdrpx-electrical-engineer-falak-design-studio-cairo-egypt
QS Engineer,Experienced,"Maadi, Cairo, Egypt",Full Time,Not specified,44 minutes ago,"['6 to 8 years at least Experience inmechanical engineering consultancy.', 'Revit Excellent', 'Navisworks coordination excellent', 'family creating excellent', 'templets creating excellent', 'Gulf Experience', 'Bachelor’s degree in mechanical engineering.']",https://wuzzuf.net/jobs/p/1hlsrhcocs6d-qs-engineer-falak-design-studio-cairo-egypt
Senior Architecture & BIM Coordinator,· Customer Service/Support,"Garden City, Cairo, Egypt",Full Time,Not specified,40 minutes ago,"['from 5 to 8 years of architectural experience indesign consultancy', 'Deep BIM knowledge (Revit is a must; Navisworks, BIM 360, Dynamo a plus)', 'Strong portfolio of large-scale projects (residential, mixed-use, commercial, etc.)', 'Experience managing coordination across disciplines (Architecture, MEP, Structure)', 'Familiarity with international BIM standards', 'Gulf Experience', 'Strong communication and leadership skills']",https://wuzzuf.net/jobs/p/okizdilercos-senior-architecture-bim-coordinator-3concepts-for-design-decoration-cairo-egypt
